train_loss,val_loss,train_acc,val_acc,lrs
0.3233505843480428,0.23657118976116182,0.8611111111111112,0.893,0.001
0.20756710486941868,0.3482639716863632,0.9183333333333333,0.87,0.001
0.15843745499187045,0.13591310983896254,0.9392222222222222,0.951,0.001
0.15038116375605265,0.10555461323261262,0.9418888888888889,0.964,0.001
0.13143235670195685,0.08592127424478531,0.9482222222222222,0.968,0.001
0.11619968505700429,0.08133558881282807,0.956,0.968,0.001
0.1089283297194375,0.08559304082393646,0.9584444444444444,0.968,0.001
0.1029889695826504,0.10639967060089112,0.9631111111111111,0.956,0.001
0.0951696092221472,0.058854641020298006,0.9643333333333334,0.977,0.001
0.09197666564252642,0.07894978559017181,0.9652222222222222,0.972,0.001
0.0862490684721205,0.07196876347064972,0.9694444444444444,0.977,0.001
0.0820860008597374,0.05986715024709702,0.9685555555555555,0.984,0.001
0.074583848853906,0.062005772173404694,0.9722222222222222,0.98,0.001
0.0733450915598207,0.07560637605190278,0.9724444444444444,0.975,0.001
0.07786668171981971,0.04727022475004196,0.9718888888888889,0.983,0.001
0.07505237281156911,0.07234041750431061,0.9724444444444444,0.974,0.001
0.06925531698597802,0.05362423038482666,0.9737777777777777,0.982,0.001
0.0705354731215371,0.06405722856521606,0.9725555555555555,0.974,0.001
0.069810932914416,0.0866893920302391,0.9733333333333334,0.966,0.001
0.07047698521614075,0.04957168719172478,0.9728888888888889,0.982,0.001
