train_loss,val_loss,train_acc,val_acc,lrs
0.39816269379191926,0.3675746212005615,0.9126666666666666,0.945,0.001
0.3796772861480713,0.36552276968955993,0.9305555555555556,0.946,0.001
0.3771369561619229,0.3688017430305481,0.933,0.941,0.001
0.3751162514421675,0.36588197350502016,0.9363333333333334,0.946,0.001
0.3758498352103763,0.3691196403503418,0.9352222222222222,0.942,0.001
0.37306547951698305,0.3610986258983612,0.938,0.949,0.001
0.3693669657177395,0.36118586373329165,0.9407777777777778,0.953,0.001
0.36677077521218193,0.3639276783466339,0.9445555555555556,0.948,0.001
0.3663932141992781,0.36246411585807803,0.9455555555555556,0.946,0.001
0.36414938418070475,0.36100194382667544,0.9466666666666667,0.951,0.001
0.36311819439464144,0.3592329151630402,0.9485555555555556,0.955,0.001
0.3679650977982415,0.35914559817314146,0.9434444444444444,0.952,0.001
0.367265357626809,0.36450274801254273,0.9447777777777778,0.949,0.001
0.36330383496814306,0.3618037343025208,0.9477777777777778,0.95,0.001
0.3596080289416843,0.35909193062782285,0.9515555555555556,0.953,0.001
