train_loss,val_loss,train_acc,val_acc,lrs
0.3746301275889079,0.22890602922439576,0.8326666666666667,0.911,0.001
0.3061954457660516,0.24908870577812195,0.8713333333333333,0.911,0.001
0.2699263790448507,0.2396139793395996,0.8891111111111111,0.887,0.001
0.2563865033917957,0.2261188759803772,0.893,0.906,0.001
0.2417922232415941,0.20389480113983155,0.9035555555555556,0.917,0.001
0.2221439043647713,0.1856603331565857,0.9111111111111111,0.932,0.001
0.2057195646762848,0.18826969492435455,0.9198888888888889,0.928,0.001
0.20934700851970248,0.25979352140426637,0.9173333333333333,0.905,0.001
0.18544656929704878,0.20595979881286622,0.9243333333333333,0.914,0.001
0.18711344830857382,0.20994564068317415,0.9256666666666666,0.918,0.001
0.16840922885470921,0.2100561319589615,0.9338888888888889,0.93,0.001
0.17343613325224982,0.22830703341960906,0.9308888888888889,0.924,0.001
0.12390633078747325,0.19668940149247646,0.9508888888888889,0.935,0.0002
0.10676975944307115,0.20401902471482752,0.9596666666666667,0.942,0.0002
0.11081094950437546,0.18943933810293676,0.9578888888888889,0.937,0.0002
