train_loss,val_loss,train_acc,val_acc,lrs
0.3500616925822364,0.3223594448566437,0.9617777777777777,0.991,0.001
0.33647968072361417,0.3242560851573944,0.9761111111111112,0.989,0.001
0.32791592706574335,0.324159690618515,0.9852222222222222,0.99,0.001
0.32899009270138213,0.3543934872150421,0.9837777777777778,0.957,0.001
0.32862008685535854,0.33171053814888,0.9843333333333333,0.982,0.001
0.32817224060164557,0.32100820326805113,0.9844444444444445,0.993,0.001
0.32430388768513996,0.3430685839653015,0.9886666666666667,0.969,0.001
0.32671474549505447,0.3615486454963684,0.9861111111111112,0.951,0.001
0.32442576056056555,0.3207273743152618,0.9891111111111112,0.993,0.001
0.3265143396854401,0.31846776986122133,0.9862222222222222,0.994,0.001
0.32609908440377977,0.3198626320362091,0.9874444444444445,0.994,0.001
0.3228082111411624,0.3179532227516174,0.9901111111111112,0.995,0.001
0.3229510508908166,0.31775452971458434,0.9896666666666667,0.995,0.001
0.3247759099006653,0.3185552213191986,0.988,0.994,0.001
0.3237018373542362,0.319017954826355,0.9888888888888889,0.994,0.001
