train_loss,val_loss,train_acc,val_acc,lrs
0.4720577107535468,0.3434245471954346,0.7811111111111111,0.842,0.001
0.3611711339155833,0.3415838174819946,0.8462222222222222,0.87,0.001
0.3212450780272484,0.3346330144405365,0.8581111111111112,0.867,0.001
0.29698833791414897,0.3166471900939941,0.8738888888888889,0.897,0.001
0.28494230847888524,0.28280872678756713,0.8841111111111111,0.888,0.001
0.25964018344879153,0.29112477898597716,0.8942222222222223,0.886,0.001
0.2450453146033817,0.26888909578323367,0.9042222222222223,0.884,0.001
0.2238573512368732,0.4355570526123047,0.912,0.877,0.001
0.2243635967042711,0.31200627207756043,0.9121111111111111,0.888,0.001
0.21129325955443912,0.26977743768692014,0.9162222222222223,0.895,0.001
0.21264454911152522,0.2655180263519287,0.9182222222222223,0.908,0.001
0.20013815704981486,0.2642758686542511,0.9245555555555556,0.9,0.001
0.170045283416907,0.32491626584529876,0.937,0.9,0.001
0.22092131202026374,0.40980643725395205,0.9166666666666666,0.902,0.001
0.17335418921709062,0.2757137973308563,0.9345555555555556,0.891,0.001
